customerID,tenure,MonthlyCharges,ChurnRisk,ChurnProbability
7639-LIAYI,52,79.75,0,0.09888332
2954-PIBKO,69,64.15,0,0.10550639
8012-SOUDQ,43,90.25,1,0.8652262
9420-LOJKX,15,99.1,1,0.95908934
6575-SUVOI,25,69.5,1,0.976932
7495-OOKFY,8,80.65,1,0.94973826
4667-QONEA,60,74.85,1,0.93721306
1658-BYGOY,18,95.45,1,0.85288155
8769-KKTPH,63,99.65,1,0.89750457
5067-XJQFU,66,108.45,1,0.85745543
3957-SQXML,34,24.95,0,0.20397538
5954-BDFSG,72,107.5,0,0.22674894
0434-CSFON,47,100.5,1,0.8688998
1215-FIGMP,60,89.9,1,0.9703995
0526-SXDJP,72,42.1,0,0.19709791
0557-ASKVU,18,54.4,1,0.8906476
5698-BQJOH,9,94.4,1,0.95571697
5122-CYFXA,3,75.3,1,0.9530187
8627-ZYGSZ,47,78.9,1,0.7789001
3410-YOQBQ,31,79.2,0,0.29616743
3170-NMYVV,50,20.15,0,0.2296556
7410-OIEDU,10,79.85,1,0.85745573
2273-QCKXA,1,49.05,1,0.9871824
0731-EBJQB,52,20.4,1,0.89317876
1891-QRQSA,64,111.6,0,0.11146365
8028-PNXHQ,62,24.25,0,0.21700123
5630-AHZIL,3,64.5,1,0.99117416
2673-CXQEU,56,110.5,1,0.9024531
6416-JNVRK,46,55.65,1,0.97452015
5590-ZSKRV,8,54.65,1,0.9685979
0191-ZHSKZ,30,74.75,1,0.9041457
3887-PBQAO,45,25.9,1,0.93956226
5919-TMRGD,1,79.35,1,0.9092862
8108-UXRQN,11,50.55,1,0.9660936
9191-MYQKX,7,75.15,1,0.9792311
9919-YLNNG,42,103.8,1,0.9819018
0318-ZOPWS,49,20.15,0,0.23808008
4445-ZJNMU,9,99.3,1,0.9441473
4808-YNLEU,35,62.15,1,0.9143526
1862-QRWPE,48,20.65,0,0.2296556
2796-NNUFI,46,19.95,0,0.12909752
3016-KSVCP,29,33.75,1,0.9637876
4767-HZZHQ,30,82.05,1,0.98836577
2424-WVHPL,1,74.7,1,0.9831282
7233-PAHHL,66,84.0,0,0.06898519
6067-NGCEU,65,111.05,1,0.9462712
9848-JQJTX,72,100.9,0,0.34785423
8637-XJIVR,12,78.95,1,0.8188096
9803-FTJCG,71,66.85,1,0.8391178
0278-YXOOG,5,21.05,1,0.9744598
3212-KXOCR,52,21.0,0,0.2296556
4598-XLKNJ,25,98.5,1,0.8888982
6380-ARCEH,1,20.2,1,0.97885895
3679-XASPY,1,19.45,1,0.97885895
7123-WQUHX,38,95.0,1,0.9165884
5386-THSLQ,66,45.55,1,0.95011735
3192-NQECA,68,110.0,0,0.3014341
6180-YBIQI,5,24.3,1,0.9669038
6728-DKUCO,72,104.15,1,0.80182856
9750-BOOHV,32,30.15,1,0.840504
8597-CWYHH,43,94.35,1,0.9313362
2848-YXSMW,72,19.4,0,0.22415116
0486-HECZI,55,96.75,1,0.8051534
4549-ZDQYY,52,57.95,1,0.9201458
5712-AHQNN,43,91.65,1,0.8888982
4846-WHAFZ,37,76.5,1,0.85996425
5256-SKJGO,64,54.6,0,0.18481842
3071-VBYPO,3,89.85,1,0.956579
9560-BBZXK,36,31.05,0,0.19709791
5299-RULOA,10,100.25,1,0.8298517
8402-OOOHJ,41,20.65,0,0.16323856
9445-ZUEQE,27,85.2,1,0.9609807
1091-SOZGA,56,99.8,1,0.9345773
2928-HLDBA,6,20.7,1,0.9744598
0404-SWRVG,3,74.4,1,0.85996425
6497-TILVL,7,50.7,1,0.9685979
7219-TLZHO,4,20.85,1,0.9744598
4622-YNKIJ,33,88.95,0,0.06410886
4412-YLTKF,27,78.05,1,0.85996425
6734-PSBAW,72,23.55,0,0.21700123
3930-ZGWVE,1,19.75,1,0.97885895
2639-UGMAZ,71,56.45,1,0.84045094
2876-GZYZC,13,85.95,1,0.85996425
6207-WIOLX,25,58.6,1,0.96795076
8587-XYZSF,67,50.55,0,0.41675866
3091-FYHKI,1,35.45,1,0.92738056
2372-HWUHI,2,44.35,1,0.9705358
7799-LGRDP,43,25.7,0,0.16297373
7850-VWJUU,23,75.0,1,0.9812072
3774-VBNXY,64,20.2,0,0.16323856
6217-KDYWC,57,19.6,0,0.12909752
0390-DCFDQ,1,70.45,1,0.9082823
3146-MSEGF,72,88.05,0,0.11147016
4080-OGPJL,8,71.15,1,0.9809579
1095-WGNGG,61,101.05,0,0.37881017
2636-SJDOU,64,84.3,1,0.7941217
1131-QQZEB,71,23.95,0,0.20911789
5716-EZXZN,65,99.05,0,0.080146536
6837-BJYDQ,3,19.6,1,0.92471707
2135-RXIHG,1,45.65,1,0.9350587
6440-DKQGE,30,64.5,1,0.9388661
3466-BYAVD,15,69.5,1,0.95116365
3780-YVMFA,8,68.55,1,0.9544253
3874-EQOEP,7,95.0,1,0.94969213
1679-JRFBR,70,108.15,1,0.89453524
9073-ZZIAY,62,86.1,0,0.124381855
3077-RSNTJ,6,19.7,1,0.9744598
6551-GNYDG,14,80.9,1,0.9792311
9167-APMXZ,22,84.15,1,0.97480696
2749-CTKAJ,22,20.15,1,0.92471707
6371-NZYEG,16,64.25,0,0.13521844
7554-NEWDD,10,25.7,0,0.20911789
8992-VONJD,13,56.0,1,0.91192514
0867-MKZVY,20,82.4,1,0.9539128
4482-EWFMI,2,69.7,1,0.88443696
4648-YPBTM,53,73.9,0,0.36399016
2907-ILJBN,11,20.6,1,0.92471707
6345-FZOQH,69,19.9,0,0.16323856
3376-BMGFE,4,70.9,1,0.9792311
5997-OPVFA,72,89.05,0,0.14355145
3445-HXXGF,58,45.3,1,0.90530026
1159-WFSGR,16,20.4,1,0.9744598
7654-YWJUF,43,84.25,1,0.8601078
1875-QIVME,2,104.4,1,0.9229363
6727-IOTLZ,14,81.95,0,0.26904005
0691-JVSYA,53,94.85,1,0.96450746
5918-VUKWP,32,20.55,1,0.958358
1744-JHKYS,34,24.7,1,0.9712971
2656-FMOKZ,15,74.45,1,0.85996425
2070-FNEXE,7,76.45,1,0.9883835
5947-SGKCL,15,105.35,1,0.9740123
3712-PKXZA,61,20.55,1,0.94602734
6317-YPKDH,1,29.95,1,0.9940712
6582-OIVSP,1,45.3,1,0.97707593
9367-WXLCH,8,84.5,1,0.98554206
5524-KHNJP,33,74.75,1,0.96062315
1918-ZBFQJ,13,79.25,1,0.8811393
1024-GUALD,1,24.8,1,0.92738056
4827-USJHP,20,51.8,1,0.9150992
8167-GJLRN,3,30.4,1,0.98140955
0956-SYCWG,13,19.65,1,0.92471707
8017-UVSZU,40,56.6,1,0.98586214
7100-FQPRV,43,71.9,1,0.92048997
2472-OVKUP,6,91.0,1,0.8811393
2984-RGEYA,69,19.75,0,0.2296556
9680-NIAUV,72,109.7,0,0.18099071
2146-EGVDT,59,19.3,0,0.22415116
2604-IJPDU,20,96.55,1,0.9221277
9178-JHUVJ,24,24.1,0,0.21700123
6168-YBYNP,59,111.35,1,0.9102893
7255-SSFBC,72,112.25,0,0.3014341
3645-DEYGF,1,20.75,1,0.97885895
9323-HGFWY,27,101.9,1,0.91086423
8544-GOQSH,14,80.05,1,0.9684474
3363-DTIVD,71,105.55,0,0.11545204
7018-WBJNK,13,78.3,1,0.95604247
9142-KZXOP,44,68.85,1,0.9850187
7674-YTAFD,33,79.95,1,0.9096717
6348-SNFUS,72,55.45,0,0.11277379
1285-OKIPP,1,79.9,1,0.9699223
7825-ECJRF,19,106.6,1,0.9243859
1347-KTTTA,64,102.45,1,0.9198749
7841-TZDMQ,2,46.0,1,0.97248816
4195-NZGTA,1,25.25,1,0.9742286
7157-SMCFK,61,19.75,0,0.16323856
4709-LKHYG,29,20.0,1,0.92471707
2504-DSHIH,23,86.8,1,0.9523744
0699-NDKJM,57,58.75,1,0.98521507
9286-BHDQG,72,45.25,0,0.16705137
0230-WEQUW,66,56.6,0,0.13460156
2040-LDIWQ,65,84.2,0,0.33069012
6496-JDSSB,8,80.0,1,0.9796839
9408-SSNVZ,4,70.15,1,0.88443696
4443-EMBNA,71,24.75,0,0.20911789
6469-MRVET,1,20.2,1,0.9591781
0742-MOABM,4,50.05,1,0.98347694
5961-VUSRV,12,19.35,1,0.9557722
6778-JFCMK,24,50.6,1,0.8446786
6341-JVQGF,31,81.15,1,0.8788704
2232-DMLXU,1,55.2,1,0.9765439
4811-JBUVU,30,89.9,1,0.96215844
0945-TSONX,47,85.3,0,0.11147016
2651-ZCBXV,54,108.0,0,0.07589531
3316-UWXUY,50,93.5,1,0.9688797
8937-RDTHP,1,84.6,1,0.8861516
7083-MIOPC,72,20.25,0,0.22415116
1984-GPTEH,29,25.15,1,0.9712971
1251-KRREG,2,54.4,1,0.8963588
0621-JFHOL,10,29.6,0,0.17570643
9903-LYSAB,18,73.15,1,0.85996425
0094-OIFMO,11,95.0,1,0.8888982
9227-UAQFT,16,19.75,0,0.16323856
7301-ABVAD,72,86.6,0,0.40265554
6614-FHDBO,72,109.2,0,0.33990705
7576-ASEJU,41,74.7,1,0.93830895
9058-HRZSV,65,94.4,1,0.95891
4522-AKYLR,13,54.8,1,0.9150992
0221-WMXNQ,4,75.35,1,0.95891
0303-UNCIP,41,65.0,1,0.94997686
9947-OTFQU,15,74.4,1,0.8811393
0322-YINQP,1,48.55,1,0.9325758
0959-WHOKV,42,99.0,1,0.7894294
4075-JFPGR,51,93.5,1,0.71469647
4629-NRXKX,2,70.4,1,0.9614219
9514-JDSKI,1,40.2,1,0.9699683
3282-ZISZV,32,83.7,1,0.96099454
3675-YDUPJ,10,19.85,1,0.93061644
4111-BNXIF,67,59.55,0,0.18481842
7017-VFHAY,61,115.1,0,0.15704142
6655-LHBYW,50,114.35,1,0.9369963
4959-JOSRX,2,44.6,1,0.97248816
5046-NUHWD,29,45.0,1,0.8892625
7273-TEFQD,3,41.15,1,0.90799767
3606-TWKGI,13,106.9,1,0.8488372
7529-ZDFXI,57,89.85,1,0.8560817
7605-BDWDC,31,49.85,0,0.16258448
1950-KSVVJ,45,113.3,1,0.89024085
0123-CRBRT,61,88.1,0,0.12590244
6292-TOSSS,50,24.9,0,0.20911789
3197-ARFOY,19,105.0,1,0.9221277
6323-AYBRX,59,19.35,0,0.16323856
7014-ZZXAW,71,24.25,0,0.16297373
4385-GZQXV,16,94.45,1,0.93720764
7633-MVPUY,57,59.75,0,0.09585422
6366-ZGQGL,1,24.8,1,0.9940712
4716-HHKQH,20,107.05,1,0.9715195
5940-AHUHD,1,70.6,1,0.9699223
6432-TWQLB,5,85.4,1,0.914884
4484-GLZOU,52,105.05,1,0.8652262
3179-GBRWV,21,64.95,1,0.9889952
8645-KWHJO,14,55.0,1,0.9420174
4130-MZLCC,5,50.55,1,0.99117273
0314-TKOSI,6,55.15,1,0.9685979
8229-MYEJZ,10,51.2,1,0.9705358
2080-SRCDE,1,25.4,1,0.97622776
9577-WJVCQ,68,54.45,1,0.9647356
9512-UIBFX,18,95.15,1,0.95922744
6202-DYYFX,22,76.0,1,0.86660284
3808-HFKDE,20,44.35,1,0.91754293
5583-SXDAG,1,70.0,1,0.9699223
3488-PGMQJ,8,74.5,1,0.8811393
3580-REOAC,10,44.85,1,0.97248816
7534-BFESC,24,76.1,1,0.85996425
3727-OWVYD,35,61.2,1,0.85594076
2294-SALNE,23,86.8,1,0.8637411
4847-TAJYI,6,89.35,1,0.8920071
1563-IWQEX,12,19.7,1,0.9744598
8203-XJZRC,1,20.25,1,0.97885895
6556-DBKZF,71,76.05,0,0.29928395
6851-WEFYX,35,100.8,1,0.85288155
2985-JUUBZ,40,74.55,1,0.89052063
6390-DSAZX,1,73.6,1,0.8861516
0895-LMRSF,23,64.9,1,0.96807
8098-LLAZX,4,95.45,1,0.8688998
8266-VBFQL,4,90.4,1,0.93256646
8181-YHCMF,68,60.3,0,0.35596514
2240-HSJQD,38,81.85,1,0.8560817
1248-DYXUB,52,24.8,0,0.14750312
0265-EDXBD,32,74.9,1,0.85996425
4115-BNPJY,29,75.55,0,0.26904005
3167-SNQPL,38,101.15,1,0.94969213
4091-TVOCN,48,78.75,1,0.91935563
1098-TDVUQ,1,19.25,1,0.9915046
7277-OZCGZ,22,89.05,1,0.9188791
1557-EMYVT,43,115.05,0,0.15704142
2799-ARNLO,5,69.35,1,0.88443696
7563-BIUPC,5,80.6,1,0.8784171
5027-YOCXN,51,110.05,1,0.9369963
3973-SKMLN,71,19.9,0,0.18001103
2321-OMBXY,38,80.3,1,0.96071017
2840-XANRC,24,93.15,1,0.8784171
6745-JEFZB,35,91.5,1,0.9578877
5020-ZSTTY,54,82.45,1,0.9509409
9880-TDQAC,72,60.0,0,0.18481842
8705-WZCYL,1,44.8,1,0.9350587
7102-JJVTX,9,48.6,1,0.85594076
8626-PTQGE,69,60.05,0,0.14355145
4983-CLMLV,52,102.7,1,0.9618158
5701-YVSVF,11,82.9,1,0.93720764
5804-LEPIM,2,70.35,1,0.88443696
5697-GOMBF,28,35.9,1,0.9113395
2739-CACDQ,17,82.65,1,0.9512381
9385-EHGDO,35,19.85,0,0.12909752
9498-FIMXL,8,19.2,1,0.89317876
2379-GYFLQ,46,94.9,1,0.8491562
0122-OAHPZ,7,73.85,1,0.85996425
2868-SNELZ,2,80.6,1,0.9523744
4322-RCYMT,68,75.8,1,0.96209586
6680-NENYN,43,104.6,0,0.19663559
2088-IEBAU,68,88.15,0,0.07809613
7982-VCELR,36,94.8,1,0.9601355
1343-EHPYB,63,103.4,1,0.8488372
6035-BXTTY,32,54.65,1,0.99239093
6885-PKOAM,71,85.75,0,0.17581026
7520-HQWJU,66,67.45,1,0.9854047
9639-BUJXT,63,20.5,1,0.92471707
5924-SNGKP,41,20.25,1,0.94602734
0021-IKXGC,1,72.1,1,0.888221
2034-GDRCN,2,90.4,1,0.8920071
8966-SNIZF,70,19.45,0,0.2296556
6243-OZGFH,23,44.95,1,0.9113395
4654-DLAMQ,64,97.0,1,0.9502706
0513-RBGPE,37,62.8,0,0.10550639
5160-UXJED,17,44.6,1,0.90875065
4115-NZRKS,7,89.15,1,0.8920071
0219-YTZUE,4,84.8,1,0.97343653
0623-IIHUG,21,41.9,1,0.8932048
4572-DVCGN,10,80.25,1,0.9792311
3351-NGXYI,16,54.1,1,0.8892625
8984-EYLLL,64,105.25,0,0.14762732
9057-MSWCO,27,30.75,1,0.988936
9833-TGFHX,42,97.1,1,0.8900156
9294-TDIPC,5,20.2,1,0.9744598
5229-DTFYB,41,98.8,0,0.35741502
0104-PPXDV,58,50.3,1,0.9467775
5176-LMJXE,47,20.55,0,0.12909752
3583-KRKMD,18,75.9,1,0.98206747
1010-DIAUQ,5,96.5,1,0.9870128
9069-LGEUL,23,59.95,1,0.9893367
7302-ZHMHP,1,19.15,1,0.97885895
9571-EDEBV,71,98.65,1,0.92589945
3520-FJGCV,72,112.6,0,0.07589531
6563-VRERX,33,20.6,1,0.92471707
0259-GBZSH,2,85.65,1,0.85288155
6122-EFVKN,24,35.75,0,0.11927016
2805-EDJPQ,56,99.75,1,0.9192377
6862-CQUMB,37,96.1,1,0.95468336
7156-MXBJE,43,85.1,1,0.9657147
6158-HDPXZ,1,25.35,1,0.9742286
9601-BRXPO,25,104.95,1,0.9782341
2863-IMQDR,61,89.65,0,0.12590244
5686-CMAWK,17,86.75,1,0.8489927
5651-CRHKQ,41,86.2,1,0.9096717
6905-NIQIN,1,50.65,1,0.97707593
8204-YJCLA,72,64.8,0,0.14355145
5167-ZFFMM,1,90.85,1,0.9724548
6583-SZVGP,48,108.1,0,0.34785423
4895-TMWIR,11,19.95,1,0.9744598
0533-BNWKF,55,85.45,1,0.8560817
1708-PBBOA,42,54.75,1,0.8352383
8782-LKFPK,44,90.4,1,0.85996425
5522-JBWMO,1,44.0,1,0.97707593
3597-MVHJT,27,95.6,1,0.97480696
9774-NRNAU,27,84.8,1,0.98162717
0224-RLWWD,2,44.3,1,0.91754293
9967-ATRFS,19,19.9,1,0.9744598
3951-NJCVI,42,95.05,1,0.8688998
2977-CEBSX,66,90.05,0,0.11147016
0177-PXBAT,33,109.9,1,0.9769976
6599-CEBNN,34,73.95,1,0.9592652
2519-ERQOJ,33,54.6,1,0.9420174
5876-QMYLD,23,20.05,1,0.92471707
2277-AXSDC,32,19.75,1,0.958358
9442-JTWDL,11,20.05,1,0.9626155
0979-PHULV,69,99.45,1,0.9458044
3067-SVMTC,68,55.9,1,0.9114964
5495-GPSRW,20,19.7,0,0.12909752
7606-BPHHN,72,19.8,0,0.18001103
4742-DRORA,60,95.4,1,0.8249675
0111-KLBQG,32,93.95,1,0.87497175
4800-VHZKI,1,19.9,1,0.9421188
7989-CHGTL,1,19.6,1,0.9421188
0334-GDDSO,3,81.35,1,0.8560817
4163-NCJAK,46,24.45,1,0.95041317
5233-AOZUF,29,74.95,1,0.85996425
5973-EJGDP,51,87.35,1,0.914884
1996-DBMUS,48,70.65,1,0.9792311
7916-VCCPB,16,73.25,1,0.98836577
4686-GEFRM,70,98.7,0,0.33325493
5249-QYHEX,40,24.8,0,0.11619615
0578-SKVMF,22,83.3,1,0.9614219
5564-NEMQO,1,75.3,1,0.98888016
2233-FAGXV,5,24.3,1,0.92245656
5605-IYGFG,7,69.85,1,0.9792311
7663-ZTEGJ,29,100.55,1,0.95573574
3935-TBRZZ,44,25.7,1,0.9159262
8111-BKVDS,10,40.7,1,0.9900738
2055-SIFSS,55,51.65,1,0.98902285
2806-MLNTI,52,105.1,1,0.95331603
8734-DKSTZ,10,85.95,1,0.9523744
4360-PNRQB,18,75.6,1,0.9742484
6152-ONASV,68,58.25,1,0.9013264
9063-ZGTUY,61,19.4,1,0.93061644
7781-HVGMK,72,65.2,0,0.11147016
2181-UAESM,2,53.45,1,0.9685979
2957-LOLHO,12,45.4,1,0.98562235
6048-NJXHX,41,19.75,0,0.12909752
2320-SLKMB,26,44.45,1,0.97580487
4980-URKXC,36,20.85,1,0.958358
4376-KFVRS,72,114.05,0,0.07589531
5886-VLQVU,35,89.85,1,0.97774976
3577-AMVUX,1,55.05,1,0.9871824
0771-WLCLA,16,112.95,1,0.9018077
5628-RKIFK,49,101.55,1,0.9857479
0206-TBWLC,54,114.65,1,0.7800886
2937-FTHUR,18,64.8,1,0.9647356
1910-FMXJM,36,80.4,1,0.9614219
7752-XUSCI,60,105.9,1,0.8652262
4110-PFEUZ,1,69.55,1,0.9699223
0732-OCQOC,52,25.05,0,0.21700123
5168-MSWXT,8,94.75,1,0.8784171
1090-ESELR,72,105.5,0,0.15937075
8592-PLTMQ,64,24.7,1,0.9159262
5760-WRAHC,22,69.75,1,0.95267075
8847-GEOOQ,60,60.2,1,0.98334885
0256-LTHVJ,28,81.05,1,0.88443696
4785-FCIFB,61,24.4,0,0.14750312
8313-NDOIA,24,104.15,1,0.8652262
5149-CUZUJ,28,92.9,1,0.92531574
0942-KOWSM,30,80.8,0,0.4318226
4237-CLSMM,2,20.0,1,0.9744598
1452-VOQCH,1,75.1,1,0.888221
4719-UMSIY,6,19.65,1,0.9744598
6614-VBEGU,24,69.45,1,0.984971
0880-TKATG,4,101.15,1,0.94969213
3811-VBYBZ,7,99.8,1,0.8488372
1480-BKXGA,72,116.05,0,0.11146365
2996-XAUVF,70,40.05,0,0.1867995
9076-AXYIK,64,102.1,0,0.2218522
5968-XQIVE,72,89.7,1,0.7688196
8896-RAZCR,44,19.9,0,0.16323856
4640-UHDOS,13,55.95,1,0.9705358
4933-IKULF,17,20.65,1,0.92471707
3583-EKAPL,1,55.0,1,0.9350587
1304-BCCFO,9,70.05,1,0.91021085
4104-PVRPS,24,53.6,1,0.9830746
9399-APLBT,1,74.7,1,0.90559226
2359-KMGLI,24,80.25,1,0.8560817
3780-DDGSE,35,76.05,1,0.9466473
4431-EDMIQ,7,75.7,1,0.95306593
0306-JAELE,5,96.1,1,0.92885196
6227-HWPWX,15,69.0,1,0.98836577
0486-LGCCH,11,19.65,0,0.16323856
0447-BEMNG,48,45.3,1,0.98585594
4612-SSVHJ,20,81.45,1,0.88443696
5168-MQQCA,72,108.5,1,0.9515525
5949-XIKAE,8,83.55,1,0.8888982
7971-HLVXI,72,84.5,0,0.26861286
9094-AZPHK,15,100.15,1,0.8652262
3649-JPUGY,72,88.6,0,0.33069012
8372-JUXUI,1,74.35,1,0.888221
3552-CTCYF,63,104.8,0,0.34785423
6778-YSNIH,2,59.0,1,0.91820633
0388-EOPEX,2,74.4,1,0.85745573
5756-OZRIO,61,64.05,1,0.9764657
6579-JPICP,1,20.4,1,0.97885895
8205-OTCHB,22,43.75,1,0.9679185
4134-BSXLX,28,60.9,1,0.9830746
0505-SPOOW,70,19.8,0,0.2296556
6235-VDHOM,5,28.45,1,0.9669038
7783-YKGDV,12,99.7,1,0.97435486
4374-YMUSQ,34,116.25,1,0.9369963
4513-CXYIX,71,80.7,0,0.09478993
3957-HHLMR,70,65.2,1,0.9572666
7803-XOCCZ,52,84.05,1,0.9844232
5736-YEJAX,69,79.45,0,0.092417814
5609-CEBID,20,94.1,1,0.8560817
8981-FJGLA,11,78.0,1,0.85996425
7218-HKQFK,2,94.2,1,0.92885196
4636-QRJKY,6,80.5,1,0.91733336
1135-LMECX,1,19.85,1,0.97885895
4332-MUOEZ,20,94.3,1,0.9493509
8535-SFUTN,61,106.45,1,0.81010514
5956-VKDTT,5,74.35,1,0.85996425
8677-HDZEE,56,105.45,1,0.97754514
2475-MROZF,30,95.0,1,0.9589979
9412-GHEEC,40,104.8,1,0.98607856
3482-ABPKK,28,54.3,1,0.8389447
6705-LXORM,5,70.05,1,0.9614219
0257-ZESQC,27,75.2,1,0.9812072
7531-GQHME,12,20.05,1,0.9884002
5174-ITUMV,67,105.4,1,0.87730247
4109-CYRBD,29,51.6,1,0.89928263
0913-XWSCN,55,85.5,1,0.98554206
6825-UYPFK,23,75.6,1,0.98554206
8397-MVTAZ,34,100.05,1,0.85288155
0750-EBAIU,52,91.25,1,0.80929303
8606-CIQUL,72,115.75,0,0.07589531
3571-DPYUH,58,94.7,1,0.8256612
7601-GNDYK,35,19.6,0,0.16323856
0356-OBMAC,56,99.9,0,0.3140257
8067-NIOYM,24,21.1,0,0.18001103
1403-GYAFU,70,20.05,0,0.22415116
4234-XTNEA,2,79.95,1,0.8784171
1297-VQDRP,68,107.15,1,0.91313493
9282-IZGQK,1,85.0,1,0.888221
5348-CAGXB,12,89.55,1,0.85288155
0621-HJWXJ,63,81.55,1,0.97343653
5844-QVTAT,33,58.45,1,0.78165525
8905-IAZPF,69,95.65,1,0.93976337
5394-MEITZ,60,80.6,0,0.3890782
6859-QNXIQ,72,113.1,0,0.12542893
2782-LFZVW,11,58.95,1,0.89928263
2866-IKBTM,1,19.55,1,0.97885895
1342-JPNKI,10,86.05,1,0.97130144
2817-NTQDO,13,45.55,1,0.9737142
7129-AZJDE,34,78.95,1,0.963729
6986-IJDHX,39,86.3,1,0.87497175
2560-PPCHE,65,105.05,1,0.9515525
4676-MQUEA,50,101.9,1,0.8203175
8138-EALND,15,19.75,1,0.9744598
3580-HYCSP,72,110.3,0,0.12953025
1352-HNSAW,72,115.6,0,0.12542893
2075-PUEPR,55,19.35,0,0.2296556
1982-FEBTD,23,25.6,0,0.16297373
5301-GAUUY,32,80.35,1,0.97343653
5791-KAJFD,56,68.75,1,0.9458604
2654-VBVPB,1,19.9,1,0.993782
1154-HYWWO,38,70.6,1,0.8259494
2501-XWWTZ,11,70.2,1,0.9614219
3716-UVSPD,1,49.3,1,0.9629876
6815-ABQFQ,56,107.25,1,0.85745543
7343-EOBEU,3,23.6,1,0.92245656
3701-SFMUH,7,69.7,1,0.9886368
6103-LIANB,59,99.5,0,0.24073575
7319-VENRZ,7,64.3,1,0.99119675
5846-NEQVZ,71,70.85,0,0.14471075
6967-QIQRV,15,101.9,1,0.8888764
5781-RFZRP,71,73.5,0,0.14758758
0939-YAPAF,35,100.25,1,0.8688998
0308-IVGOK,11,40.4,1,0.8749558
7293-LSCDV,60,19.25,0,0.18001103
7025-WCBNE,47,59.6,0,0.38791433
5756-JYOJT,11,64.9,1,0.9698583
4710-FDUIZ,56,100.3,1,0.95826316
6030-REHUX,28,110.85,1,0.92063856
9548-LIGTA,61,81.05,0,0.08977625
5150-LJNSR,31,98.05,1,0.87580687
8270-RKSAP,9,70.5,1,0.88443696
6522-YRBXD,35,94.55,1,0.81403285
2640-LYMOV,2,19.65,1,0.93061644
1218-VKFPE,12,19.0,1,0.9744598
3627-FHKBK,1,75.3,1,0.9679454
2865-TCHJW,4,89.2,1,0.8688998
1423-BMPBQ,1,19.0,1,0.9421188
2393-DIVAI,3,20.0,1,0.93061644
5192-EBGOV,1,85.7,1,0.8894178
4568-KNYWR,52,63.25,0,0.13851339
8752-IMQOS,5,20.1,1,0.92471707
0742-LAFQK,72,99.15,0,0.07080278
0795-LAFGP,71,90.4,0,0.111891165
0619-OLYUR,72,111.9,0,0.07589531
5512-IDZEI,46,24.9,1,0.9159262
0459-SPZHJ,63,83.5,0,0.1812176
0215-BQKGS,30,84.3,1,0.9581972
9244-ZVAPM,1,45.6,1,0.97707593
0719-SYFRB,12,61.65,1,0.9379716
8208-EUMTE,16,54.85,0,0.10467394
5172-MIGPM,4,65.55,1,0.9794915
1710-RCXUS,51,90.35,1,0.931173
0374-FIUCA,65,20.4,0,0.18001103
5839-SUYVZ,16,74.55,1,0.96940696
5173-ZXXXL,2,19.95,1,0.92471707
1096-ADRUX,66,74.25,1,0.91639364
2001-MCUUW,46,108.65,0,0.2218522
2731-GJRDG,32,109.55,1,0.9103689
4723-BEGSG,72,86.65,0,0.15724404
