customerID,MonthlyCharges,tenure,CLV,CustomerSegment
1875-QIVME,104.4,2,208.8,Low Value
6727-IOTLZ,81.95,14,1147.3,Medium Value
0691-JVSYA,94.85,53,5027.049999999999,High Value
5918-VUKWP,20.55,32,657.6,Low Value
1744-JHKYS,24.7,34,839.8,Medium Value
2656-FMOKZ,74.45,15,1116.75,Medium Value
2070-FNEXE,76.45,7,535.15,Low Value
5947-SGKCL,105.35,15,1580.25,Medium Value
3712-PKXZA,20.55,61,1253.55,Medium Value
6317-YPKDH,29.95,1,29.95,Low Value
6582-OIVSP,45.3,1,45.3,Low Value
9367-WXLCH,84.5,8,676.0,Low Value
5524-KHNJP,74.75,33,2466.75,Medium Value
1918-ZBFQJ,79.25,13,1030.25,Medium Value
1024-GUALD,24.8,1,24.8,Low Value
4827-USJHP,51.8,20,1036.0,Medium Value
8167-GJLRN,30.4,3,91.19999999999999,Low Value
0956-SYCWG,19.65,13,255.45,Low Value
8017-UVSZU,56.6,40,2264.0,Medium Value
7100-FQPRV,71.9,43,3091.7000000000003,High Value
2472-OVKUP,91.0,6,546.0,Low Value
2984-RGEYA,19.75,69,1362.75,Medium Value
9680-NIAUV,109.7,72,7898.400000000001,High Value
2146-EGVDT,19.3,59,1138.7,Medium Value
2604-IJPDU,96.55,20,1931.0,Medium Value
9178-JHUVJ,24.1,24,578.4000000000001,Low Value
6168-YBYNP,111.35,59,6569.65,High Value
7255-SSFBC,112.25,72,8082.0,High Value
3645-DEYGF,20.75,1,20.75,Low Value
9323-HGFWY,101.9,27,2751.3,High Value
8544-GOQSH,80.05,14,1120.7,Medium Value
3363-DTIVD,105.55,71,7494.05,High Value
7018-WBJNK,78.3,13,1017.9,Medium Value
9142-KZXOP,68.85,44,3029.3999999999996,High Value
7674-YTAFD,79.95,33,2638.35,Medium Value
6348-SNFUS,55.45,72,3992.4,High Value
1285-OKIPP,79.9,1,79.9,Low Value
7825-ECJRF,106.6,19,2025.3999999999999,Medium Value
1347-KTTTA,102.45,64,6556.8,High Value
7841-TZDMQ,46.0,2,92.0,Low Value
4195-NZGTA,25.25,1,25.25,Low Value
7157-SMCFK,19.75,61,1204.75,Medium Value
4709-LKHYG,20.0,29,580.0,Low Value
2504-DSHIH,86.8,23,1996.3999999999999,Medium Value
0699-NDKJM,58.75,57,3348.75,High Value
9286-BHDQG,45.25,72,3258.0,High Value
0230-WEQUW,56.6,66,3735.6,High Value
2040-LDIWQ,84.2,65,5473.0,High Value
6496-JDSSB,80.0,8,640.0,Low Value
9408-SSNVZ,70.15,4,280.6,Low Value
4443-EMBNA,24.75,71,1757.25,Medium Value
6469-MRVET,20.2,1,20.2,Low Value
0742-MOABM,50.05,4,200.2,Low Value
5961-VUSRV,19.35,12,232.20000000000002,Low Value
6778-JFCMK,50.6,24,1214.4,Medium Value
6341-JVQGF,81.15,31,2515.65,Medium Value
2232-DMLXU,55.2,1,55.2,Low Value
4811-JBUVU,89.9,30,2697.0,Medium Value
0945-TSONX,85.3,47,4009.1,High Value
2651-ZCBXV,108.0,54,5832.0,High Value
3316-UWXUY,93.5,50,4675.0,High Value
8937-RDTHP,84.6,1,84.6,Low Value
7083-MIOPC,20.25,72,1458.0,Medium Value
1984-GPTEH,25.15,29,729.3499999999999,Medium Value
1251-KRREG,54.4,2,108.8,Low Value
0621-JFHOL,29.6,10,296.0,Low Value
9903-LYSAB,73.15,18,1316.7,Medium Value
0094-OIFMO,95.0,11,1045.0,Medium Value
9227-UAQFT,19.75,16,316.0,Low Value
7301-ABVAD,86.6,72,6235.2,High Value
6614-FHDBO,109.2,72,7862.400000000001,High Value
7576-ASEJU,74.7,41,3062.7000000000003,High Value
9058-HRZSV,94.4,65,6136.0,High Value
4522-AKYLR,54.8,13,712.4,Medium Value
0221-WMXNQ,75.35,4,301.4,Low Value
0303-UNCIP,65.0,41,2665.0,Medium Value
9947-OTFQU,74.4,15,1116.0,Medium Value
0322-YINQP,48.55,1,48.55,Low Value
0959-WHOKV,99.0,42,4158.0,High Value
4075-JFPGR,93.5,51,4768.5,High Value
4629-NRXKX,70.4,2,140.8,Low Value
9514-JDSKI,40.2,1,40.2,Low Value
3282-ZISZV,83.7,32,2678.4,Medium Value
3675-YDUPJ,19.85,10,198.5,Low Value
4111-BNXIF,59.55,67,3989.85,High Value
7017-VFHAY,115.1,61,7021.099999999999,High Value
6655-LHBYW,114.35,50,5717.5,High Value
4959-JOSRX,44.6,2,89.2,Low Value
5046-NUHWD,45.0,29,1305.0,Medium Value
7273-TEFQD,41.15,3,123.44999999999999,Low Value
3606-TWKGI,106.9,13,1389.7,Medium Value
7529-ZDFXI,89.85,57,5121.45,High Value
7605-BDWDC,49.85,31,1545.3500000000001,Medium Value
1950-KSVVJ,113.3,45,5098.5,High Value
0123-CRBRT,88.1,61,5374.099999999999,High Value
6292-TOSSS,24.9,50,1245.0,Medium Value
3197-ARFOY,105.0,19,1995.0,Medium Value
6323-AYBRX,19.35,59,1141.65,Medium Value
7014-ZZXAW,24.25,71,1721.75,Medium Value
4385-GZQXV,94.45,16,1511.2,Medium Value
7633-MVPUY,59.75,57,3405.75,High Value
6366-ZGQGL,24.8,1,24.8,Low Value
4716-HHKQH,107.05,20,2141.0,Medium Value
5940-AHUHD,70.6,1,70.6,Low Value
6432-TWQLB,85.4,5,427.0,Low Value
4484-GLZOU,105.05,52,5462.599999999999,High Value
3179-GBRWV,64.95,21,1363.95,Medium Value
8645-KWHJO,55.0,14,770.0,Medium Value
4130-MZLCC,50.55,5,252.75,Low Value
0314-TKOSI,55.15,6,330.9,Low Value
8229-MYEJZ,51.2,10,512.0,Low Value
2080-SRCDE,25.4,1,25.4,Low Value
9577-WJVCQ,54.45,68,3702.6000000000004,High Value
9512-UIBFX,95.15,18,1712.7,Medium Value
6202-DYYFX,76.0,22,1672.0,Medium Value
3808-HFKDE,44.35,20,887.0,Medium Value
5583-SXDAG,70.0,1,70.0,Low Value
3488-PGMQJ,74.5,8,596.0,Low Value
3580-REOAC,44.85,10,448.5,Low Value
7534-BFESC,76.1,24,1826.3999999999999,Medium Value
3727-OWVYD,61.2,35,2142.0,Medium Value
2294-SALNE,86.8,23,1996.3999999999999,Medium Value
4847-TAJYI,89.35,6,536.0999999999999,Low Value
1563-IWQEX,19.7,12,236.39999999999998,Low Value
8203-XJZRC,20.25,1,20.25,Low Value
6556-DBKZF,76.05,71,5399.55,High Value
6851-WEFYX,100.8,35,3528.0,High Value
2985-JUUBZ,74.55,40,2982.0,High Value
6390-DSAZX,73.6,1,73.6,Low Value
0895-LMRSF,64.9,23,1492.7,Medium Value
8098-LLAZX,95.45,4,381.8,Low Value
8266-VBFQL,90.4,4,361.6,Low Value
8181-YHCMF,60.3,68,4100.4,High Value
2240-HSJQD,81.85,38,3110.2999999999997,High Value
1248-DYXUB,24.8,52,1289.6000000000001,Medium Value
0265-EDXBD,74.9,32,2396.8,Medium Value
4115-BNPJY,75.55,29,2190.95,Medium Value
3167-SNQPL,101.15,38,3843.7000000000003,High Value
4091-TVOCN,78.75,48,3780.0,High Value
1098-TDVUQ,19.25,1,19.25,Low Value
7277-OZCGZ,89.05,22,1959.1,Medium Value
1557-EMYVT,115.05,43,4947.15,High Value
2799-ARNLO,69.35,5,346.75,Low Value
7563-BIUPC,80.6,5,403.0,Low Value
5027-YOCXN,110.05,51,5612.55,High Value
3973-SKMLN,19.9,71,1412.8999999999999,Medium Value
2321-OMBXY,80.3,38,3051.4,High Value
2840-XANRC,93.15,24,2235.6000000000004,Medium Value
6745-JEFZB,91.5,35,3202.5,High Value
5020-ZSTTY,82.45,54,4452.3,High Value
9880-TDQAC,60.0,72,4320.0,High Value
8705-WZCYL,44.8,1,44.8,Low Value
7102-JJVTX,48.6,9,437.40000000000003,Low Value
8626-PTQGE,60.05,69,4143.45,High Value
4983-CLMLV,102.7,52,5340.400000000001,High Value
5701-YVSVF,82.9,11,911.9000000000001,Medium Value
5804-LEPIM,70.35,2,140.7,Low Value
5697-GOMBF,35.9,28,1005.1999999999999,Medium Value
2739-CACDQ,82.65,17,1405.0500000000002,Medium Value
9385-EHGDO,19.85,35,694.75,Medium Value
9498-FIMXL,19.2,8,153.6,Low Value
2379-GYFLQ,94.9,46,4365.400000000001,High Value
0122-OAHPZ,73.85,7,516.9499999999999,Low Value
2868-SNELZ,80.6,2,161.2,Low Value
4322-RCYMT,75.8,68,5154.4,High Value
6680-NENYN,104.6,43,4497.8,High Value
2088-IEBAU,88.15,68,5994.200000000001,High Value
7982-VCELR,94.8,36,3412.7999999999997,High Value
1343-EHPYB,103.4,63,6514.200000000001,High Value
6035-BXTTY,54.65,32,1748.8,Medium Value
6885-PKOAM,85.75,71,6088.25,High Value
7520-HQWJU,67.45,66,4451.7,High Value
9639-BUJXT,20.5,63,1291.5,Medium Value
5924-SNGKP,20.25,41,830.25,Medium Value
0021-IKXGC,72.1,1,72.1,Low Value
2034-GDRCN,90.4,2,180.8,Low Value
8966-SNIZF,19.45,70,1361.5,Medium Value
6243-OZGFH,44.95,23,1033.8500000000001,Medium Value
4654-DLAMQ,97.0,64,6208.0,High Value
0513-RBGPE,62.8,37,2323.6,Medium Value
5160-UXJED,44.6,17,758.2,Medium Value
4115-NZRKS,89.15,7,624.0500000000001,Low Value
0219-YTZUE,84.8,4,339.2,Low Value
0623-IIHUG,41.9,21,879.9,Medium Value
4572-DVCGN,80.25,10,802.5,Medium Value
3351-NGXYI,54.1,16,865.6,Medium Value
8984-EYLLL,105.25,64,6736.0,High Value
9057-MSWCO,30.75,27,830.25,Medium Value
9833-TGFHX,97.1,42,4078.2,High Value
9294-TDIPC,20.2,5,101.0,Low Value
5229-DTFYB,98.8,41,4050.7999999999997,High Value
0104-PPXDV,50.3,58,2917.3999999999996,High Value
5176-LMJXE,20.55,47,965.85,Medium Value
3583-KRKMD,75.9,18,1366.2,Medium Value
1010-DIAUQ,96.5,5,482.5,Low Value
9069-LGEUL,59.95,23,1378.8500000000001,Medium Value
7302-ZHMHP,19.15,1,19.15,Low Value
9571-EDEBV,98.65,71,7004.150000000001,High Value
3520-FJGCV,112.6,72,8107.2,High Value
6563-VRERX,20.6,33,679.8000000000001,Medium Value
0259-GBZSH,85.65,2,171.3,Low Value
6122-EFVKN,35.75,24,858.0,Medium Value
2805-EDJPQ,99.75,56,5586.0,High Value
6862-CQUMB,96.1,37,3555.7,High Value
7156-MXBJE,85.1,43,3659.2999999999997,High Value
6158-HDPXZ,25.35,1,25.35,Low Value
9601-BRXPO,104.95,25,2623.75,Medium Value
2863-IMQDR,89.65,61,5468.650000000001,High Value
5686-CMAWK,86.75,17,1474.75,Medium Value
5651-CRHKQ,86.2,41,3534.2000000000003,High Value
6905-NIQIN,50.65,1,50.65,Low Value
8204-YJCLA,64.8,72,4665.599999999999,High Value
5167-ZFFMM,90.85,1,90.85,Low Value
6583-SZVGP,108.1,48,5188.799999999999,High Value
4895-TMWIR,19.95,11,219.45,Low Value
0533-BNWKF,85.45,55,4699.75,High Value
1708-PBBOA,54.75,42,2299.5,Medium Value
8782-LKFPK,90.4,44,3977.6000000000004,High Value
5522-JBWMO,44.0,1,44.0,Low Value
3597-MVHJT,95.6,27,2581.2,Medium Value
9774-NRNAU,84.8,27,2289.6,Medium Value
0224-RLWWD,44.3,2,88.6,Low Value
9967-ATRFS,19.9,19,378.09999999999997,Low Value
3951-NJCVI,95.05,42,3992.1,High Value
2977-CEBSX,90.05,66,5943.3,High Value
0177-PXBAT,109.9,33,3626.7000000000003,High Value
6599-CEBNN,73.95,34,2514.3,Medium Value
2519-ERQOJ,54.6,33,1801.8,Medium Value
5876-QMYLD,20.05,23,461.15000000000003,Low Value
2277-AXSDC,19.75,32,632.0,Low Value
9442-JTWDL,20.05,11,220.55,Low Value
0979-PHULV,99.45,69,6862.05,High Value
3067-SVMTC,55.9,68,3801.2,High Value
5495-GPSRW,19.7,20,394.0,Low Value
7606-BPHHN,19.8,72,1425.6000000000001,Medium Value
4742-DRORA,95.4,60,5724.0,High Value
0111-KLBQG,93.95,32,3006.4,High Value
4800-VHZKI,19.9,1,19.9,Low Value
7989-CHGTL,19.6,1,19.6,Low Value
0334-GDDSO,81.35,3,244.04999999999998,Low Value
4163-NCJAK,24.45,46,1124.7,Medium Value
5233-AOZUF,74.95,29,2173.55,Medium Value
5973-EJGDP,87.35,51,4454.849999999999,High Value
1996-DBMUS,70.65,48,3391.2000000000003,High Value
7916-VCCPB,73.25,16,1172.0,Medium Value
4686-GEFRM,98.7,70,6909.0,High Value
5249-QYHEX,24.8,40,992.0,Medium Value
0578-SKVMF,83.3,22,1832.6,Medium Value
5564-NEMQO,75.3,1,75.3,Low Value
2233-FAGXV,24.3,5,121.5,Low Value
5605-IYGFG,69.85,7,488.94999999999993,Low Value
7663-ZTEGJ,100.55,29,2915.95,High Value
3935-TBRZZ,25.7,44,1130.8,Medium Value
8111-BKVDS,40.7,10,407.0,Low Value
2055-SIFSS,51.65,55,2840.75,High Value
2806-MLNTI,105.1,52,5465.2,High Value
8734-DKSTZ,85.95,10,859.5,Medium Value
4360-PNRQB,75.6,18,1360.8,Medium Value
6152-ONASV,58.25,68,3961.0,High Value
9063-ZGTUY,19.4,61,1183.3999999999999,Medium Value
7781-HVGMK,65.2,72,4694.400000000001,High Value
2181-UAESM,53.45,2,106.9,Low Value
2957-LOLHO,45.4,12,544.8,Low Value
6048-NJXHX,19.75,41,809.75,Medium Value
2320-SLKMB,44.45,26,1155.7,Medium Value
4980-URKXC,20.85,36,750.6,Medium Value
4376-KFVRS,114.05,72,8211.6,High Value
5886-VLQVU,89.85,35,3144.75,High Value
3577-AMVUX,55.05,1,55.05,Low Value
0771-WLCLA,112.95,16,1807.2,Medium Value
5628-RKIFK,101.55,49,4975.95,High Value
0206-TBWLC,114.65,54,6191.1,High Value
2937-FTHUR,64.8,18,1166.3999999999999,Medium Value
1910-FMXJM,80.4,36,2894.4,High Value
7752-XUSCI,105.9,60,6354.0,High Value
4110-PFEUZ,69.55,1,69.55,Low Value
0732-OCQOC,25.05,52,1302.6000000000001,Medium Value
5168-MSWXT,94.75,8,758.0,Medium Value
1090-ESELR,105.5,72,7596.0,High Value
8592-PLTMQ,24.7,64,1580.8,Medium Value
5760-WRAHC,69.75,22,1534.5,Medium Value
8847-GEOOQ,60.2,60,3612.0,High Value
0256-LTHVJ,81.05,28,2269.4,Medium Value
4785-FCIFB,24.4,61,1488.3999999999999,Medium Value
8313-NDOIA,104.15,24,2499.6000000000004,Medium Value
5149-CUZUJ,92.9,28,2601.2000000000003,Medium Value
0942-KOWSM,80.8,30,2424.0,Medium Value
4237-CLSMM,20.0,2,40.0,Low Value
1452-VOQCH,75.1,1,75.1,Low Value
4719-UMSIY,19.65,6,117.89999999999999,Low Value
6614-VBEGU,69.45,24,1666.8000000000002,Medium Value
0880-TKATG,101.15,4,404.6,Low Value
3811-VBYBZ,99.8,7,698.6,Medium Value
1480-BKXGA,116.05,72,8355.6,High Value
2996-XAUVF,40.05,70,2803.5,High Value
9076-AXYIK,102.1,64,6534.4,High Value
5968-XQIVE,89.7,72,6458.400000000001,High Value
8896-RAZCR,19.9,44,875.5999999999999,Medium Value
4640-UHDOS,55.95,13,727.35,Medium Value
4933-IKULF,20.65,17,351.04999999999995,Low Value
3583-EKAPL,55.0,1,55.0,Low Value
1304-BCCFO,70.05,9,630.4499999999999,Low Value
4104-PVRPS,53.6,24,1286.4,Medium Value
9399-APLBT,74.7,1,74.7,Low Value
2359-KMGLI,80.25,24,1926.0,Medium Value
3780-DDGSE,76.05,35,2661.75,Medium Value
4431-EDMIQ,75.7,7,529.9,Low Value
0306-JAELE,96.1,5,480.5,Low Value
6227-HWPWX,69.0,15,1035.0,Medium Value
0486-LGCCH,19.65,11,216.14999999999998,Low Value
0447-BEMNG,45.3,48,2174.3999999999996,Medium Value
4612-SSVHJ,81.45,20,1629.0,Medium Value
5168-MQQCA,108.5,72,7812.0,High Value
5949-XIKAE,83.55,8,668.4,Low Value
7971-HLVXI,84.5,72,6084.0,High Value
9094-AZPHK,100.15,15,1502.25,Medium Value
3649-JPUGY,88.6,72,6379.2,High Value
8372-JUXUI,74.35,1,74.35,Low Value
3552-CTCYF,104.8,63,6602.4,High Value
6778-YSNIH,59.0,2,118.0,Low Value
0388-EOPEX,74.4,2,148.8,Low Value
5756-OZRIO,64.05,61,3907.0499999999997,High Value
6579-JPICP,20.4,1,20.4,Low Value
8205-OTCHB,43.75,22,962.5,Medium Value
4134-BSXLX,60.9,28,1705.2,Medium Value
0505-SPOOW,19.8,70,1386.0,Medium Value
6235-VDHOM,28.45,5,142.25,Low Value
7783-YKGDV,99.7,12,1196.4,Medium Value
4374-YMUSQ,116.25,34,3952.5,High Value
4513-CXYIX,80.7,71,5729.7,High Value
3957-HHLMR,65.2,70,4564.0,High Value
7803-XOCCZ,84.05,52,4370.599999999999,High Value
5736-YEJAX,79.45,69,5482.05,High Value
5609-CEBID,94.1,20,1882.0,Medium Value
8981-FJGLA,78.0,11,858.0,Medium Value
7218-HKQFK,94.2,2,188.4,Low Value
4636-QRJKY,80.5,6,483.0,Low Value
1135-LMECX,19.85,1,19.85,Low Value
4332-MUOEZ,94.3,20,1886.0,Medium Value
8535-SFUTN,106.45,61,6493.45,High Value
5956-VKDTT,74.35,5,371.75,Low Value
8677-HDZEE,105.45,56,5905.2,High Value
2475-MROZF,95.0,30,2850.0,High Value
9412-GHEEC,104.8,40,4192.0,High Value
3482-ABPKK,54.3,28,1520.3999999999999,Medium Value
6705-LXORM,70.05,5,350.25,Low Value
0257-ZESQC,75.2,27,2030.4,Medium Value
7531-GQHME,20.05,12,240.60000000000002,Low Value
5174-ITUMV,105.4,67,7061.8,High Value
4109-CYRBD,51.6,29,1496.4,Medium Value
0913-XWSCN,85.5,55,4702.5,High Value
6825-UYPFK,75.6,23,1738.8,Medium Value
8397-MVTAZ,100.05,34,3401.7,High Value
0750-EBAIU,91.25,52,4745.0,High Value
8606-CIQUL,115.75,72,8334.0,High Value
3571-DPYUH,94.7,58,5492.6,High Value
7601-GNDYK,19.6,35,686.0,Medium Value
0356-OBMAC,99.9,56,5594.400000000001,High Value
8067-NIOYM,21.1,24,506.40000000000003,Low Value
1403-GYAFU,20.05,70,1403.5,Medium Value
4234-XTNEA,79.95,2,159.9,Low Value
1297-VQDRP,107.15,68,7286.200000000001,High Value
9282-IZGQK,85.0,1,85.0,Low Value
5348-CAGXB,89.55,12,1074.6,Medium Value
0621-HJWXJ,81.55,63,5137.65,High Value
5844-QVTAT,58.45,33,1928.8500000000001,Medium Value
8905-IAZPF,95.65,69,6599.85,High Value
5394-MEITZ,80.6,60,4836.0,High Value
6859-QNXIQ,113.1,72,8143.2,High Value
2782-LFZVW,58.95,11,648.45,Low Value
2866-IKBTM,19.55,1,19.55,Low Value
1342-JPNKI,86.05,10,860.5,Medium Value
2817-NTQDO,45.55,13,592.15,Low Value
7129-AZJDE,78.95,34,2684.3,Medium Value
